quebec_column,provenance,spatial_dependency,tier,status,energuide_field,pct_populated,note
Geometry Stories,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,A/B,direct,STOREYS,100.0,storeys
Geometry Building Number Units,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,B,resstock,NUMDWELLINGUNITS,62.8,MURB unit count from census/BenchmarkYYC
Geometry Building Horizontal Location,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Geometry Building Level,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Geometry Foundation Type,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,A/B,direct,FNDTYPE,82.8,foundation type
Windows,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,A/B,direct,WINDOWCODE,66.6,glazing shares by type/vintage
Insulation Wall,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,A,direct,MAINWALLINS,100.0,wall RSI -> nearest QC_R* label
Insulation Ceiling,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,A,direct,CEILINS,100.0,ceiling RSI -> nearest QC_R* label
Insulation Foundation Wall,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,A,direct,FNDWALLINS,100.0,foundation-wall RSI -> nearest QC_R* label
Insulation Floor,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Geometry Wall Exterior Finish,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
geometry attic type,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
HVAC Has Shared System,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
HVAC Heating Efficiency,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,A,direct,FURSSEFF,100.0,AFUE/HSPF from FURSSEFF/HEATAFUE
Spa ChaufType,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Usage Level,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Cooking Range Usage Level,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Clothes Washer Usage Level,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Clothes Dryer Usage Level,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Refrigerator Efficiency,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Refrigerator Extra Efficiency,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Refrigerator Usage Level,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Freezer Efficiency,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Dishwasher Energy,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Diswasher Usage Level,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Lighting Usage Level,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Door Area,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Door Rvalue,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Plug Load,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
ModeConsigne,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,A/B,direct,ThermostatHeatingNighttime,50.9,setback mode from day/night pair
Heating Setpoint,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,A/B,direct,TMAIN,100.0,daytime heating setpoint
Cooling Setpoint,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,B,direct,ThermostatCooling,50.9,sparse; else shift QC
Garage Heating Setpoint,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Basement Heating Setpoint,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,A/B,direct,TBSMNT,100.0,basement setpoint
Mechanical Ventilation,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,B,direct,CENVENTSYSTYPE,100.0,ventilation system type/HRV
Bathroom Spot Vent Hour,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Natural Ventilation,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Range Spot Vent Hour,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Orientation,Tech-Hardcoded (ResStock / Buildstock sampling),Location Dependent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Overhangs,Tech-Hardcoded (ResStock / Buildstock sampling),Location Dependent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
Vacancy Status,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,B,imputed,,,CMHC vacancy + census unoccupied share
Has PV,Tech-Hardcoded (ResStock / Buildstock sampling),Location Dependent,B,direct,KWPV,56.5,PV presence from KWPV>0 (retrofit-biased)
PV Orientation,Tech-Hardcoded (ResStock / Buildstock sampling),Location Dependent,D,resstock,,,ResStock-generic behavioural/physical default; not Alberta-specific
PV System Size,Tech-Hardcoded (ResStock / Buildstock sampling),Location Dependent,B,direct,KWPV,56.5,system size from KWPV
Battery,Tech-Hardcoded (ResStock / Buildstock sampling),Location Dependent,B,direct,BATTERYSTORAGE,56.1,battery presence
