Code,Description,Label,IdLabel,Type
QA1,Quel est votre lien avec ce logement ? En êtes-vous...,"['Le propriétaire / Co-propriétaire', 'Le locataire / Co-locataire']","['0', '1']",discrete
QA4,De quel genre d'habitation s'agit-il?,"['Immeuble de 4 à 8 appartements', 'Immeuble de 9 à 19 appartements', 'Immeuble de 20 à 49 appartements', 'Immeuble de 50 appartements ou plus', 'Immeuble à appartement (sans précision)', 'Maison mobile/roulotte', 'Maison individuelle détachée/unifamiliale', 'Maison individuelle en rangée attachée des 2 côtés', 'Maison individuelle en rangée (sans précisions)', 'Maison jumelée/bout de rangée attachée 1 côté/semi-détaché', 'Duplex détaché', 'Duplex en milieu de rangée attaché 2 côtés', 'Duplex jumelé/en bout de rangée attaché 1 seul côté', 'Duplex (sans précision)', 'Triplex milieu de rangée attaché 2 côtés', 'Triplex jumelé/en bout de rangée attaché 1 seul côté', 'Triplex (sans précision)', 'Triplex détaché']","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13']",discrete
QC1R,Principale source d'énergie utilisée pour le chauffage de l'habitation,"['Électricité', 'Gaz naturel', 'Mazout', 'Bois seul ou en combinaison', 'Bi-énergie', 'Autres']","['0', '1', '2', '3', '4', '5']",discrete
CONS_AN,Consommation annuelle d'électricité en kWh,,,Double
QA6M,Année de construction de l'habitation,,,Entier
TERR_HQ,Territoire HQ,"['Est et nord du Québec', 'Laurentides', 'Montmorency', 'Montréal', 'Richelieu']","['0', '1', '2', '3', '4']",discrete
ZONE,Zone du Québec,"['Outaouais rural', 'Milles-Îles', 'IDM Est', 'IDM Nord', 'CUQ', 'CUO', 'St-Maurice', 'Côte-Nord', 'Le Noroit', 'IDM Ouest', 'Chateauguay-Vaudreuil', 'Des Cantons', 'Sorel-Victoriaville', 'Drummonville', 'Lévis', 'IDM Sud', 'Laval', 'Montmorency-nord', 'Saguenay', 'Le Haut St-Laurent', 'Bas St-Laurent', 'Gaspésie', 'Appalaches', 'Antoine-Labelle', 'Des Seigneuries', 'Lanaudière', 'Ozias-Leduc']","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26']",discrete
QA4R,Type d'habitation,"['Uni', 'Plex', 'Multi']","['0', '1', '2']",discrete
QA4M,Nombre de logements dans l'immeuble,,,Entier
QA6RR,Décennie de construction de l'habitation,"['Avant 1900', 'Entre 1900 et 1950', 'Dans les années 50', 'Dans les années 60', 'Dans les années 70', 'Dans les années 80', 'Dans les années 90', 'Entre 2000 et 2009', 'Entre 2010 et 2013', 'Entre 2014 et 2017', ""Entre 2018 et aujourd'hui""]","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",discrete
