Column,Provenance,SpatialDependency,Notes
Geometry Stories,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,
Geometry Building Number Units,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,
Geometry Building Horizontal Location,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,
Geometry Building Level,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,
Geometry Foundation Type,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,"Sampled from ResStock conditional tables, not raw EUEMR survey variable."
Windows,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,
Insulation Wall,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,
Insulation Ceiling,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,
Insulation Foundation Wall,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,
Insulation Floor,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,
Geometry Wall Exterior Finish,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,
geometry attic type,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,
HVAC Has Shared System,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,
HVAC Heating Efficiency,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,
Spa ChaufType,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,
Usage Level,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,"Sampled from ResStock conditional tables, not raw EUEMR survey variable."
Cooking Range Usage Level,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,"Sampled from ResStock conditional tables, not raw EUEMR survey variable."
Clothes Washer Usage Level,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,"Sampled from ResStock conditional tables, not raw EUEMR survey variable."
Clothes Dryer Usage Level,Tech-Hardcoded (ResStock / Buildstock sampling),Location Independent,"Sampled from ResStock conditional tables, not raw EUEMR survey variable."
