;Dependance;Option
An_Construction;['Type_Logement'];['< 1950', '[1950 - 1960)', '[1960 - 1970)', '[1970 - 1980)', '[1980 - 1990)', '[1990 - 2000)', '[2000 - 2010)', '[2010 - 2020)', '>= 2020']
Chauffage_Logement;['Source_Energie_Chauf', 'Type_Logement'];['Plinthes électriques', 'Unités convecteurs, plancher ou plafond radiant', 'Fournaise ou poêle à bois et Système central à air chaud', 'Fournaise ou poêle à bois et Système central à eau chaude', 'Fournaise ou poêle à bois et Fournaise murale ou de plancher', 'Thermopompe', 'Système central à air chaud', 'Système central à eau chaude', 'Fournaise ou poêle à bois', 'Fournaise murale ou de plancher', 'Fournaise ou poêle à bois et Plinthes électriques', 'Fournaise ou poêle à bois et Unités convecteurs, plancher ou plafond radiant', 'Fournaise ou poêle à bois et Thermopompe']
Climatisation;['Type_Logement', 'Chauffage_Logement'];['Aucune', 'Fenêtre, mobile, portable', 'Murale', 'Centrale']
Mode_Occupation;['Type_Logement'];['Locataire', 'Proprietaire']
Nombre_Etages;['Territoire_HQ', 'Type_Logement'];['Un étage', 'Deux étages', 'Trois étages et plus']
Nombre_Personnes;['Nombre_Pieces'];['1', '2', '3', '4', '5 et plus']
Nombre_Pieces;['Nombre_Etages', 'Type_Logement'];['1', '2', '11', '12', '13', '14', '15 et plus', '3', '4', '5', '6', '7', '8', '9', '10']
Presence_Garage;['Type_Logement'];['Pas de Garage', 'Garage non chauffé', 'Garage chauffé à électricité', 'Garage chauffé à autre source']
Presence_SousSol;['Nombre_Etages', 'Type_Logement'];['Sous sol 6 pied', 'Vide sanitaire moins 6 pieds', 'Aucun Sous-sol ou vide sanitaire', 'Sous-sol et vide sanitaire']
Source_Energie_Chauf;['An_Construction', 'Type_Logement'];['Electricite', 'Mazout', 'Gaz naturel', 'Bi-energie', 'Bois']
Superficie_Totale;['Nombre_Pieces', 'Type_Logement'];['[1 - 500)', '[500 - 1000)', '>= 5000', '[1000 - 1500)', '[1500 - 2000)', '[2000 - 2500)', '[2500 - 3000)', '[3000 - 3500)', '[3500 - 4000)', '[4000 - 4500)', '[4500 - 5000)']
Territoire_HQ;[];['Est et Nord du Québec', 'Laurentides', 'Montmorency', 'Montréal', 'Richelieu']
Type_Logement;['Territoire_HQ'];['Collective', 'Triplex', 'Duplex', 'Maison en rangee', 'Maison individuelle']
