id,Nom,Description,Valeurs,Dépendance (parents),Dépendance (enfants),Échantillonneur,Source
0,Territoire_HQ,Territoire HQ,"['Est et Nord du Québec', 'Laurentides', 'Montmorency', 'Montréal', 'Richelieu']",[],"['Region_Administrative', 'Source_Energie_Chauf']",Réseau Bayesien,EUEMR modifié
1,Region_Administrative,Zone du Québec,"['Bas-Saint-Laurent', 'Capitale-Nationale', 'Centre-du-Québec', 'Chaudière-Appalaches', 'Côte-Nord', 'Estrie', 'Gaspésie-Îles-de-la-Madeleine', 'Lanaudière', 'Laurentides', 'Laval', 'Mauricie', 'Montérégie', 'Montréal', 'Outaouais', 'Saguenay-Lac-Saint-Jean']",['Territoire_HQ'],"['Type_Logement', 'Nombre_Etages', 'Spa_Presence', 'Piscine_Presence', 'Vehicule_Presence']",Réseau Bayesien,EUEMR modifié
2,Type_Logement,De quel genre d'habitation s'agit-il?,"['Collective', 'Triplex', 'Duplex', 'Maison en rangee', 'Maison individuelle']",['Region_Administrative'],"['Type_Batiment', 'Nombre_Etages', 'Nombre_Pieces', 'Presence_SousSol', 'Presence_Garage', 'Mode_Occupation', 'An_Construction', 'Climatisation', 'Chauffage_Logement', 'Spa_Presence', 'Spa_Logement', 'Piscine_Presence', 'Piscine_Type', 'Vehicule_Presence', 'Vehicule_BornePresence', 'ChaufEau_Type', 'ChaufEau_Presence', 'Congelateur_Nombre', 'Refrigerateur_Nombre', 'LaveLinge_Type', 'SecheLinge_Presence', 'LaveVaisselle_Presence', 'Cuisiniere_Presence', 'Eclairage_LED']",Réseau Bayesien,EUEMR modifié
3,Type_Batiment,De quel genre d'habitation s'agit-il?,"['Collective', 'Plex', 'Maison']",['Type_Logement'],['Source_Energie_Chauf'],Réseau Bayesien,EUEMR modifié
4,Nombre_Etages,Nombre d'étages habitables dans la résidence (incluant le sous-sol et le garage),"['Un étage', 'Deux étages', 'Trois étages et plus']","['Region_Administrative', 'Type_Logement']","['Nombre_Pieces', 'Presence_SousSol']",Réseau Bayesien,EUEMR modifié
5,Nombre_Pieces,"Nombre de pièces dans la résidence (incluant les pièces du sous-sol et le garage, excluant les salles de bain et les couloirs)","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15 et plus']","['Type_Logement', 'Nombre_Etages']","['Nombre_Personnes', 'Superficie_Totale']",Réseau Bayesien,EUEMR modifié
6,Superficie_Totale,Quelle est la superficie TOTALE habitable de votre résidence incluant le sous-sol et le garage?,"['[1 - 500)', '[500 - 1000)', '[1000 - 1500)', '[1500 - 2000)', '[2000 - 2500)', '[2500 - 3000)', '[3000 - 3500)', '[3500 - 4000)', '[4000 - 4500)', '[4500 - 5000)', '>= 5000']",['Nombre_Pieces'],[],Réseau Bayesien,EUEMR modifié
7,Presence_SousSol,Votre résidence comporte-elle un sous-sol ou vide sanitaire?,"['Sous sol 6 pied', 'Vide sanitaire moins 6 pieds', 'Aucun Sous-sol ou vide sanitaire', 'Sous-sol et vide sanitaire']","['Type_Logement', 'Nombre_Etages']",[],Réseau Bayesien,EUEMR modifié
8,Nombre_Personnes,"En vous incluant, combien de personnes habitent ce logement?","['1', '2', '3', '4', '5 et plus']",['Nombre_Pieces'],"['Congelateur_Nombre', 'Refrigerateur_Nombre', 'LaveLinge_Type', 'SecheLinge_Presence', 'LaveVaisselle_Presence', 'Cuisiniere_Presence']",Réseau Bayesien,EUEMR modifié
9,Presence_Garage,Avez-vous un garage?,"['Pas de Garage', 'Garage non chauffé', 'Garage chauffé à électricité', 'Garage chauffé à autre source']",['Type_Logement'],[],Réseau Bayesien,EUEMR modifié
10,Mode_Occupation,Quel est votre lien avec ce logement ? En êtes-vous...,"['Locataire', 'Proprietaire']",['Type_Logement'],['Eclairage_LED'],Réseau Bayesien,EUEMR modifié
11,An_Construction,Année de construction de l'habitation,"['< 1950', '[1950 - 1960)', '[1960 - 1970)', '[1970 - 1980)', '[1980 - 1990)', '[1990 - 2000)', '[2000 - 2010)', '[2010 - 2020)', '>= 2020']",['Type_Logement'],['An_ConstructionCode'],Réseau Bayesien,EUEMR modifié
12,An_ConstructionCode,Année de construction de l'habitation,"['< 1946', '[1946 - 1984)', '[1984 - 2011)', '>= 2011']",['An_Construction'],['Source_Energie_Chauf'],Réseau Bayesien,EUEMR modifié
13,Climatisation,"Parmi les appareils suivants, lesquels utilisez-vous pour climatiser votre habitation? (Ensemble des mentions)","['Aucune', 'Fenêtre, mobile, portable', 'Murale', 'Centrale']","['Type_Logement', 'Chauffage_Logement']",[],Réseau Bayesien,EUEMR modifié
14,Source_Energie_Chauf,Principale source d'énergie utilisée pour le chauffage de l'habitation,"['Electricite', 'Mazout', 'Gaz naturel', 'Bi-energie', 'Bois']","['Territoire_HQ', 'Type_Batiment', 'An_ConstructionCode']","['ChaufEau_ChaufType', 'Cuisiniere_Energie', 'Chauffage_Logement']",Réseau Bayesien,EUEMR modifié
15,Chauffage_Logement,Système principal de chauffage,"['Plinthes électriques', 'Unités convecteurs, plancher ou plafond radiant', 'Thermopompe', 'Système central à air chaud', 'Système central à eau chaude', 'Fournaise ou poêle à bois', 'Fournaise murale ou de plancher', 'Fournaise ou poêle à bois et Plinthes électriques', 'Fournaise ou poêle à bois et Unités convecteurs, plancher ou plafond radiant', 'Fournaise ou poêle à bois et Thermopompe', 'Fournaise ou poêle à bois et Système central à air chaud', 'Fournaise ou poêle à bois et Système central à eau chaude', 'Fournaise ou poêle à bois et Fournaise murale ou de plancher']","['Type_Logement', 'Source_Energie_Chauf']",['Climatisation'],Réseau Bayesien,EUEMR modifié
16,Spa_Presence,Avez-vous un spa à votre résidence?,"['Oui', 'Non']","['Region_Administrative', 'Type_Logement']","['Spa_Logement', 'Spa_Saison']",Réseau Bayesien,EUEMR modifié
17,Spa_Logement,Le spa est-il à l'intérieur ou à l'extérieur de la résidence?,"['Aucun', 'Exterieur', 'Interieur']","['Spa_Presence', 'Type_Logement']",['Spa_Saison'],Réseau Bayesien,EUEMR modifié
18,Spa_Saison,"Avez-vous utilisé votre spa…? (Printemps, été, automne, hiver, pas utilisé)","['Aucun', 'Pas utilisé', 'Ne sait pas', 'Toute_Saison', 'Printemps', 'Ete', 'Automne', 'Hiver', 'Printemps_Ete', 'Printemps_Automne', 'Printemps_Hiver', 'Ete_Automne', 'Ete_Hiver', 'Automne_Hiver', 'Printemps_Ete_Automne', 'Printemps_Automne_Hiver', 'Ete_Automne_Hiver']","['Spa_Presence', 'Spa_Logement']","['Spa_Utilisation_SaisonChaude', 'Spa_Utilisation_SaisonFroide']",Réseau Bayesien,EUEMR modifié
19,Spa_Utilisation_SaisonChaude,Lequel des deux énoncés suivants correspond le mieux à vos habitudes durant les mois chauds de la dernière année?,"['Aucun', 'Ne sais pas', 'Constant', 'Augmentation']",['Spa_Saison'],[],Réseau Bayesien,EUEMR modifié
20,Spa_Utilisation_SaisonFroide,Lequel des deux énoncés suivants correspond le mieux à vos habitudes durant les mois froids de la dernière année?,"['Aucun', 'Ne sais pas', 'Constant', 'Augmentation']",['Spa_Saison'],[],Réseau Bayesien,EUEMR modifié
21,Piscine_Presence,"Avez-vous une piscine installée en permanence, qu'elle soit creusée ou hors-terre?","['Oui', 'Non']","['Region_Administrative', 'Type_Logement']",['Piscine_Type'],Réseau Bayesien,EUEMR modifié
22,Piscine_Type,De quel type de piscine s'agit-il?,"['Aucun', 'Hors_Terre', 'Creusee_Exterieur', 'Creusee_Interieur']","['Type_Logement', 'Piscine_Presence']","['Piscine_Toile', 'Piscine_Chauffee', 'Piscine_Minuterie']",Réseau Bayesien,EUEMR modifié
23,Piscine_Minuterie,Votre filtreur est-il équipé d'une minuterie?,"['Aucun', 'Oui', 'Non']",['Piscine_Type'],[],Réseau Bayesien,EUEMR modifié
24,Piscine_Toile,Possédez-vous une toile solaire?,"['Aucun', 'Oui', 'Non']",['Piscine_Type'],[],Réseau Bayesien,EUEMR modifié
25,Piscine_Chauffee,Votre piscine est-elle chauffée (autrement que par une toile solaire)?,"['Aucun', 'Oui', 'Non']",['Piscine_Type'],['Piscine_ChaufType'],Réseau Bayesien,EUEMR modifié
26,Piscine_ChaufType,De quelle façon est-elle chauffée? (Ensemble des mentions),"['Aucun', 'Ne sait pas', 'Thermopompe', 'Electrique', 'Capteur Solaire', 'Propane', 'Gaz Naturel', 'Bois', 'Mazout']",['Piscine_Chauffee'],[],Réseau Bayesien,EUEMR modifié
27,Vehicule_Presence,Voiture(s) électrique? (Base totale),"['Aucune_VE_Aucune_VHR', 'Une_VE_Aucune_VHR', 'Aucune_VE_Une_VHR', 'Deux_VE_Aucune_VHR', 'Une_VE_Une_VHR', 'Deux_VE_Une_VHR', 'Trois_VE_Aucune_VHR', 'Deux_VE_Deux_VHR', 'Aucune_VE_Deux_VHR']","['Region_Administrative', 'Type_Logement']",['Vehicule_BornePresence'],Réseau Bayesien,EUEMR modifié
28,Vehicule_BornePresence,Disposez-vous d'une borne de recharge reliée à votre compteur d'électricité?,"['Aucun', 'Oui', 'Non']","['Type_Logement', 'Vehicule_Presence']",[],Réseau Bayesien,EUEMR modifié
29,ChaufEau_ChaufType,À quelle source d'énergie votre chauffe-eau fonctionne-t-il?,"['Aucun', 'Ne sait pas', 'Electrique', 'Propane', 'Gaz Naturel', 'Bois', 'Mazout']","['Source_Energie_Chauf', 'ChaufEau_Presence']",[],Réseau Bayesien,EUEMR modifié
30,ChaufEau_Type,Quelle est la capacité du chauffe-eau?,"['Non definit', 'Ne sait pas', 'Chauffe-eau sans réservoir', 'Moins de 22 gallons', '22 gallons', '23-40 gallons', '40 gallons', '41-59 gallons', '60 gallons', '60 et plus gallons']","['Type_Logement', 'ChaufEau_Presence']",[],Réseau Bayesien,EUEMR modifié
